title,company,city,link
Руководитель региональной сети офисов,Jobers,Ставрополь,https://hh.ru/vacancy/68818422?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Операционный директор,Smart Bee,Красноярск,https://hh.ru/vacancy/55337490?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель объекта,ООО Кристалл,Красноярск,https://hh.ru/vacancy/68646030?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Операционный директор/руководитель,ООО НИОКР-ТРЕЙД,Москва,https://hh.ru/vacancy/68389845?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор офиса,ИП Чеснокова Наталья Владимировна,Москва,https://hh.ru/vacancy/68807774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Генеральный директор Дорожное строительство,Urals Capital,Красноярск,https://hh.ru/vacancy/68591759?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор РУО (г. Владивосток),Производственный Кооператив Управляющая Компания,Владивосток,https://hh.ru/vacancy/68404848?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель региональной сети офисов,Jobers,Казань,https://hh.ru/vacancy/68818622?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
"Операционный директор в ""Проект Жизнь""",Проект Жизнь,Москва,https://hh.ru/vacancy/68742552?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор по цепям поставок/Supply Chain Director,ООО Акульчев,Москва,https://hh.ru/vacancy/68286694?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
